,Unnamed: 0,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Has_freq,Has_aoa,Filter,score,Word,SUBTLWF,freq_lcnl_extended,freq_lcnl_extended_log,freq_lcnl_extended_log_flipscale,score_extended
3263,2742,3k,glare,1.0,0.3010299956639812,3.679700380871964,9.33,3.14,3.7319999999999998,0.0,3.0,4.0,True,True,True,24.048801523487857,glare,1.607843137254902,1.0,0.3010299956639812,3.679700380871964,24.048801523487857
3264,7557,3k,thrive,1.0,0.3010299956639812,3.679700380871964,9.35,2.16,3.74,0.0,0.0,0.0,True,True,True,24.068801523487856,thrive,1.7450980392156863,1.0,0.3010299956639812,3.679700380871964,24.068801523487856
2181,5365,3k,quake,#N/A,#N/A,#N/A,8.15,2.21,3.26,0.0,0.0,1.0,False,True,False,#N/A,quake,1.607843137254902,4.0225083871752624e-05,1.746918061234745e-05,3.980712907355333,24.072851629421333
210,526,unl,boob,#N/A,#N/A,#N/A,8.16,4.51,3.264,#N/A,#N/A,#N/A,False,True,False,#N/A,boob,3.0,7.505411990705063e-05,3.259436696427264e-05,3.9806977821689813,24.082791128675925
972,2406,lcnl,flunk,#N/A,#N/A,#N/A,8.16,2.5,3.264,#N/A,#N/A,#N/A,False,True,False,#N/A,flunk,1.803921568627451,4.5130581904893184e-05,1.959952042083415e-05,3.9807107770155246,24.0828431080621
2797,6888,3k,squaw,#N/A,#N/A,#N/A,8.16,3.34,3.264,#N/A,#N/A,#N/A,False,True,False,#N/A,squaw,1.3137254901960784,3.2866836822041776e-05,1.4273651305867198e-05,3.9807161028846396,24.08286441153856
1187,2889,3k,graph,#N/A,#N/A,#N/A,8.16,1.68,3.264,3.0,6.0,8.0,False,True,False,#N/A,graph,0.7450980392156863,1.8640892525934142e-05,8.095561307788757e-06,3.9807222809746374,24.08288912389855
3270,499,3k,bog,1.0,0.3010299956639812,3.679700380871964,9.37,3.0,3.748,5.0,0.0,0.0,True,True,True,24.088801523487856,bog,0.9607843137254902,1.0,0.3010299956639812,3.679700380871964,24.088801523487856
3183,7793,3k,tribe,#N/A,#N/A,#N/A,8.17,4.09,3.2680000000000002,4.0,8.0,15.0,False,True,False,#N/A,tribe,6.372549019607843,0.00015942868607706832,6.923347986564052e-05,3.98066114305608,24.09264457222432
1460,3605,3k,jot,#N/A,#N/A,#N/A,8.17,1.86,3.2680000000000002,0.0,0.0,1.0,False,True,False,#N/A,jot,0.7254901960784313,1.8150342722620083e-05,7.882522154040827e-06,3.9807224940137913,24.092889976055165
3462,8465,3k,wring,#N/A,#N/A,#N/A,8.18,3.56,3.272,0.0,0.0,0.0,False,True,False,#N/A,wring,1.2156862745098038,3.0414087805471492e-05,1.3208469645322467e-05,3.9807171680663003,24.102868672265203
2163,5326,3k,punt,#N/A,#N/A,#N/A,8.18,3.05,3.272,#N/A,#N/A,#N/A,False,True,False,#N/A,punt,0.7254901960784313,1.8150342722620083e-05,7.882522154040827e-06,3.9807224940137913,24.102889976055167
3277,3808,3k,lag,1.0,0.3010299956639812,3.679700380871964,9.39,2.57,3.7560000000000002,0.0,0.0,0.0,True,True,True,24.108801523487855,lag,1.4705882352941178,1.0,0.3010299956639812,3.679700380871964,24.108801523487855
3279,4940,3k,phase,1.0,0.3010299956639812,3.679700380871964,9.4,2.88,3.76,0.0,0.0,0.0,True,True,True,24.118801523487857,phase,12.333333333333334,1.0,0.3010299956639812,3.679700380871964,24.118801523487857
61,151,3k,bale,#N/A,#N/A,#N/A,8.2,2.5,3.28,0.0,0.0,1.0,False,True,False,#N/A,bale,2.0392156862745097,5.1017179544661856e-05,2.2155914397204236e-05,3.980708220621548,24.122832882486193
235,588,lcnl,bra,#N/A,#N/A,#N/A,8.21,2.18,3.284,#N/A,#N/A,#N/A,False,True,False,#N/A,bra,10.92156862745098,0.0002732362404459294,0.00011864878264603955,3.9806117277532995,24.132446911013197
2796,6886,3k,squat,#N/A,#N/A,#N/A,8.21,4.81,3.284,0.0,0.0,0.0,False,True,False,#N/A,squat,3.1372549019607843,7.848796853024901e-05,3.408555399304621e-05,3.9806962909819523,24.13278516392781
1490,3703,3k,kilt,#N/A,#N/A,#N/A,8.21,1.78,3.284,#N/A,#N/A,#N/A,False,True,False,#N/A,kilt,0.6078431372549019,1.5207043902735746e-05,6.604285037342065e-06,3.980723772250908,24.132895089003632
3280,5223,3k,prey,1.0,0.3010299956639812,3.679700380871964,9.42,2.97,3.7680000000000002,0.0,0.0,1.0,True,True,True,24.138801523487857,prey,5.509803921568627,1.0,0.3010299956639812,3.679700380871964,24.138801523487857
3287,7416,lcnl,teal,1.0,0.3010299956639812,3.679700380871964,9.42,4.74,3.7680000000000002,#N/A,#N/A,#N/A,True,True,True,24.138801523487857,teal,0.5098039215686274,1.0,0.3010299956639812,3.679700380871964,24.138801523487857
3285,5468,3k,rank,1.0,0.3010299956639812,3.679700380871964,9.42,2.04,3.7680000000000002,0.0,0.0,1.0,True,True,True,24.138801523487857,rank,8.490196078431373,1.0,0.3010299956639812,3.679700380871964,24.138801523487857
2778,4880,unl,pease,7.0,0.9030899869919435,3.077640389544002,11.83,3.87,4.732,#N/A,#N/A,#N/A,True,True,True,24.14056155817601,#N/A,#N/A,7.0,0.9030899869919435,3.077640389544002,24.14056155817601
2822,6946,3k,stalk,#N/A,#N/A,#N/A,8.22,2.37,3.2880000000000003,0.0,4.0,5.0,False,True,False,#N/A,stalk,1.6862745098039216,4.2187283085008845e-05,1.8321317789676494e-05,3.980712055218156,24.142848220872622
500,1254,lcnl,clunk,#N/A,#N/A,#N/A,8.22,3.52,3.2880000000000003,#N/A,#N/A,#N/A,False,True,False,#N/A,clunk,0.6274509803921569,1.5697593706049803e-05,6.817324818021764e-06,3.9807235592111274,24.142894236844512
3288,1879,3k,dread,1.0,0.3010299956639812,3.679700380871964,9.44,2.73,3.7760000000000002,0.0,1.0,5.0,True,True,True,24.158801523487856,dread,2.5098039215686274,1.0,0.3010299956639812,3.679700380871964,24.158801523487856
352,881,unl,caped,#N/A,#N/A,#N/A,8.24,3.15,3.2960000000000003,#N/A,#N/A,#N/A,False,True,False,#N/A,caped,0.13725490196078433,3.433848623198395e-06,1.491298948311471e-06,3.980728885236997,24.16291554094799
3102,2787,3k,glum,2.0,0.47712125471966244,3.503609121816283,10.15,3.17,4.06,#N/A,#N/A,#N/A,True,True,True,24.16443648726513,glum,1.0196078431372548,2.0,0.47712125471966244,3.503609121816283,24.16443648726513
