,Unnamed: 0,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Has_freq,Has_aoa,Filter,score,SUBTLWF,freq_lcnl_extended,freq_lcnl_extended_log,freq_lcnl_extended_log_flipscale,score_extended
2746,6774,3k,spire,#N/A,#N/A,#N/A,11.69,4.59,4.676,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,0.098039216,2.45E-06,1.07E-06,3.980729311,27.61291725
637,1583,3k,czar,#N/A,#N/A,#N/A,11.71,3,4.684,0,0,0,FALSE,TRUE,FALSE,#N/A,0.68627451,1.72E-05,7.46E-06,3.98072292,27.63289168
991,2449,lcnl,fop,#N/A,#N/A,#N/A,11.71,3.5,4.684,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,0.215686275,5.40E-06,2.34E-06,3.980728033,27.63291213
255,637,3k,breach,#N/A,#N/A,#N/A,11.72,2.89,4.688,0,0,0,FALSE,TRUE,FALSE,#N/A,6.215686275,0.000155504,6.75E-05,3.980662847,27.64265139
1769,4428,lcnl,mooch,#N/A,#N/A,#N/A,11.72,4.84,4.688,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,0.882352941,2.21E-05,9.59E-06,3.98072079,27.64288316
2595,6411,3k,sleet,#N/A,#N/A,#N/A,11.72,4.5,4.688,0,2,2,FALSE,TRUE,FALSE,#N/A,0.647058824,1.62E-05,7.03E-06,3.980723346,27.64289338
1074,2630,lcnl,gape,#N/A,#N/A,#N/A,11.72,3.34,4.688,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,0.058823529,1.47E-06,6.39E-07,3.980729737,27.64291895
166,416,3k,blight,#N/A,#N/A,#N/A,11.73,2.89,4.692,0,0,0,FALSE,TRUE,FALSE,#N/A,0.568627451,1.42E-05,6.18E-06,3.980724198,27.65289679
2410,5938,lcnl,scrawl,#N/A,#N/A,#N/A,11.73,2.81,4.692,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,0.235294118,5.89E-06,2.56E-06,3.98072782,27.65291128
3497,6735,unl,specs,1,0.301029996,3.679700381,12.94,4.3,5.176,#N/A,#N/A,#N/A,TRUE,TRUE,TRUE,27.65880152,2.078431373,1,0.301029996,3.679700381,27.65880152
3495,535,3k,boon,1,0.301029996,3.679700381,12.94,4.12,5.176,#N/A,#N/A,#N/A,TRUE,TRUE,TRUE,27.65880152,#N/A,1,0.301029996,3.679700381,27.65880152
3496,3220,lcnl,hemp,1,0.301029996,3.679700381,12.94,3.35,5.176,0,0,0,TRUE,TRUE,TRUE,27.65880152,0.333333333,1,0.301029996,3.679700381,27.65880152
3286,8041,3k,vile,#N/A,#N/A,#N/A,11.74,3.87,4.696,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,4.431372549,0.000110864,4.81E-05,3.980682231,27.66272893
303,756,3k,buff,#N/A,#N/A,#N/A,11.74,5.14,4.696,0,0,0,FALSE,TRUE,FALSE,#N/A,2.490196078,6.23E-05,2.71E-05,3.980703321,27.66281328
2726,6725,lcnl,spay,#N/A,#N/A,#N/A,11.74,4.39,4.696,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,0.117647059,2.94E-06,1.28E-06,3.980729098,27.66291639
2540,6288,lcnl,silt,#N/A,#N/A,#N/A,11.75,3.38,4.7,0,0,1,FALSE,TRUE,FALSE,#N/A,0.333333333,8.34E-06,3.62E-06,3.980726755,27.67290702
1067,2615,3k,gait,#N/A,#N/A,#N/A,11.75,3.18,4.7,0,0,0,FALSE,TRUE,FALSE,#N/A,0.31372549,7.85E-06,3.41E-06,3.980726968,27.67290787
2490,6161,3k,shill,#N/A,#N/A,#N/A,11.77,2.65,4.708,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,0.274509804,6.87E-06,2.98E-06,3.980727394,27.69290958
263,655,lcnl,breech,#N/A,#N/A,#N/A,11.79,3.39,4.716,0,0,0,FALSE,TRUE,FALSE,#N/A,0.68627451,1.72E-05,7.46E-06,3.98072292,27.71289168
1469,3625,3k,juke,#N/A,#N/A,#N/A,11.79,3.68,4.716,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,0.470588235,1.18E-05,5.11E-06,3.980725264,27.71290105
1096,2684,lcnl,gent,#N/A,#N/A,#N/A,11.8,3.36,4.72,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,1.607843137,4.02E-05,1.75E-05,3.980712907,27.72285163
795,1988,lcnl,dupe,#N/A,#N/A,#N/A,11.81,2.07,4.724,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,0.647058824,1.62E-05,7.03E-06,3.980723346,27.73289338
636,1581,3k,cyst,#N/A,#N/A,#N/A,11.81,2.59,4.724,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,0.431372549,1.08E-05,4.69E-06,3.98072569,27.73290276
1084,2655,3k,gaunt,#N/A,#N/A,#N/A,11.81,3.58,4.724,0,1,2,FALSE,TRUE,FALSE,#N/A,0.156862745,3.92E-06,1.70E-06,3.980728672,27.73291469
2512,6223,lcnl,shrew,#N/A,#N/A,#N/A,11.82,4.26,4.728,0,0,0,FALSE,TRUE,FALSE,#N/A,0.823529412,2.06E-05,8.95E-06,3.980721429,27.74288572
3242,7925,3k,twinge,#N/A,#N/A,#N/A,11.82,2.88,4.728,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,0.509803922,1.28E-05,5.54E-06,3.980724837,27.74289935
1953,4820,lcnl,parch,#N/A,#N/A,#N/A,11.82,3.26,4.728,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,0.039215686,9.81E-07,4.26E-07,3.98072995,27.7429198
467,1169,3k,cleft,#N/A,#N/A,#N/A,11.83,2.64,4.732,0,0,0,FALSE,TRUE,FALSE,#N/A,0.588235294,1.47E-05,6.39E-06,3.980723985,27.75289594
2722,6717,3k,sparse,#N/A,#N/A,#N/A,11.83,1.9,4.732,0,0,0,FALSE,TRUE,FALSE,#N/A,0.215686275,5.40E-06,2.34E-06,3.980728033,27.75291213
3498,7909,lcnl,tweet,1,0.301029996,3.679700381,13.05,7.64,5.22,#N/A,#N/A,#N/A,TRUE,TRUE,TRUE,27.76880152,0.843137255,1,0.301029996,3.679700381,27.76880152
