,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,score
1435,3k,torch,2,0.693147181,9.243773377,7.84,4.0,3.136,5.0,1.0,4.0,7.757886689
1436,3k,hoof,1,0.0,10.0,6.9,2.51,2.76,1.0,1.0,5.0,7.76
1437,unl,greens,1,0.0,10.0,6.903765,3.69,2.761506,2.0,3.0,3.0,7.761506
1438,lcnl,prune,2,0.693147181,9.243773377,7.85,2.58,3.14,,,,7.761886689
1439,3k,scout,1,0.0,10.0,6.94,2.36,2.776,6.0,7.0,12.0,7.776
1440,3k,foal,3,1.098612289,8.80140916,8.44,2.48,3.376,13.0,0.0,3.0,7.77670458
1441,3k,vase,2,0.693147181,9.243773377,7.89,2.59,3.156,1.0,2.0,3.0,7.777886689
1442,3k,bash,4,1.386294361,8.487546753,8.84,2.69,3.536,,,,7.779773377
1443,3k,gore,11,2.397895273,7.383885708,10.239406,4.02,4.0957624,,,,7.787705254
1444,3k,heck,1,0.0,10.0,7.0,3.04,2.8,4.0,6.0,1.0,7.8
1445,3k,spark,2,0.693147181,9.243773377,7.95,2.37,3.18,0.0,3.0,3.0,7.801886689
1446,3k,bud,1,0.0,10.0,7.010335,1.5,2.804134,39.0,19.0,12.0,7.804134
1447,3k,bore,4,1.386294361,8.487546753,8.907281,4.64,3.5629124,0.0,2.0,4.0,7.806685777
1448,3k,glance,5,1.609437912,8.244096157,9.22,2.76,3.688,0.0,9.0,16.0,7.810048079
1449,lcnl,doc,3,1.098612289,8.80140916,8.53,4.93,3.412,26.0,15.0,5.0,7.81270458
1450,3k,elk,1,0.0,10.0,7.05,4.68,2.82,8.0,9.0,6.0,7.82
1451,3k,tan,1,0.0,10.0,7.05,3.14,2.82,51.0,8.0,8.0,7.82
1452,lcnl,prance,4,1.386294361,8.487546753,8.95,2.68,3.58,,,,7.823773377
1453,3k,dim,1,0.0,10.0,7.06,2.62,2.824,7.0,15.0,19.0,7.824
1454,lcnl,blah,4,1.386294361,8.487546753,8.98188,4.65,3.592752,,,,7.836525376
1455,3k,host,2,0.693147181,9.243773377,8.05,2.7,3.22,0.0,2.0,3.0,7.841886689
1456,3k,peak,1,0.0,10.0,7.11,2.11,2.844,16.0,9.0,9.0,7.844
1457,3k,bait,1,0.0,10.0,7.11,2.08,2.844,8.0,6.0,7.0,7.844
1458,lcnl,pox,3,1.098612289,8.80140916,8.61,2.66,3.444,3.0,2.0,1.0,7.84470458
1459,3k,clump,3,1.098612289,8.80140916,8.62,3.04,3.448,9.0,4.0,5.0,7.84870458
1460,3k,threat,1,0.0,10.0,7.14,2.43,2.856,0.0,1.0,2.0,7.856
1461,3k,fierce,4,1.386294361,8.487546753,9.04,3.07,3.616,0.0,13.0,15.0,7.859773377
1462,3k,spade,2,0.693147181,9.243773377,8.11,2.63,3.244,1.0,3.0,1.0,7.865886689
1463,3k,pledge,1,0.0,10.0,7.17,2.46,2.868,0.0,2.0,2.0,7.868
1464,3k,tour,1,0.0,10.0,7.17,2.36,2.868,0.0,3.0,5.0,7.868
1465,3k,bay,3,1.098612289,8.80140916,8.67,2.52,3.468,5.0,26.0,30.0,7.86870458
1466,3k,gust,2,0.693147181,9.243773377,8.12,2.57,3.248,0.0,0.0,2.0,7.869886689
1467,unl,glazed,1,0.0,10.0,7.19,2.23,2.876,0.0,1.0,1.0,7.876
1468,3k,soot,1,0.0,10.0,7.2,2.8,2.88,0.0,0.0,0.0,7.88
1469,3k,lab,3,1.098612289,8.80140916,8.71,2.9,3.484,2.0,4.0,5.0,7.88470458
1470,3k,braid,1,0.0,10.0,7.22,3.67,2.888,0.0,1.0,1.0,7.888
1471,lcnl,mutt,1,0.0,10.0,7.22,2.02,2.888,3.0,1.0,0.0,7.888
1472,3k,mill,2,0.693147181,9.243773377,8.17,2.62,3.268,19.0,17.0,22.0,7.889886689
1473,3k,folk,2,0.693147181,9.243773377,8.19,2.96,3.276,0.0,2.0,8.0,7.897886689
1474,3k,sweat,1,0.0,10.0,7.26,3.26,2.904,6.0,15.0,18.0,7.904
1475,3k,stem,1,0.0,10.0,7.26,2.6,2.904,2.0,9.0,11.0,7.904
1476,3k,fame,1,0.0,10.0,7.26,2.49,2.904,0.0,1.0,2.0,7.904
1477,3k,bald,1,0.0,10.0,7.26,3.35,2.904,18.0,5.0,6.0,7.904
1478,3k,fare,2,0.693147181,9.243773377,8.21,3.01,3.284,1.0,2.0,3.0,7.905886689
1479,3k,fink,1,0.0,10.0,7.27,1.19,2.908,,,,7.908
1480,3k,boast,2,0.693147181,9.243773377,8.22,2.13,3.288,0.0,1.0,4.0,7.909886689
1481,3k,gap,2,0.693147181,9.243773377,8.22,1.93,3.288,6.0,2.0,6.0,7.909886689
1482,3k,ramp,1,0.0,10.0,7.28,1.84,2.912,0.0,3.0,4.0,7.912
1483,3k,beam,3,1.098612289,8.80140916,8.78,2.9,3.512,8.0,8.0,11.0,7.91270458
1484,3k,fin,1,0.0,10.0,7.3,3.36,2.92,71.0,11.0,1.0,7.92
1485,unl,fritz,24,3.17805383,6.53272929,11.635473,4.2,4.6541892,26.0,10.0,6.0,7.920553845
1486,3k,thus,4,1.386294361,8.487546753,9.19502,2.41,3.678008,1.0,1.0,11.0,7.921781377
1487,3k,arch,2,0.693147181,9.243773377,8.26,3.11,3.304,1.0,6.0,4.0,7.925886689
1488,3k,yank,1,0.0,10.0,7.33,3.06,2.932,0.0,0.0,1.0,7.932
1489,3k,chat,1,0.0,10.0,7.33,2.43,2.932,1.0,2.0,2.0,7.932
1490,3k,tilt,3,1.098612289,8.80140916,8.83,3.6,3.532,0.0,0.0,2.0,7.93270458
1491,3k,price,1,0.0,10.0,7.35,2.78,2.94,15.0,18.0,24.0,7.94
1492,3k,spine,1,0.0,10.0,7.35,2.03,2.94,0.0,3.0,3.0,7.94
1493,3k,rye,4,1.386294361,8.487546753,9.26,3.77,3.704,0.0,1.0,2.0,7.947773377
1494,3k,whirl,1,0.0,10.0,7.37,2.03,2.948,7.0,2.0,3.0,7.948
1495,3k,flee,2,0.693147181,9.243773377,8.33,2.72,3.332,0.0,1.0,1.0,7.953886689
1496,3k,stitch,1,0.0,10.0,7.39,2.33,2.956,5.0,2.0,2.0,7.956
1497,3k,surf,1,0.0,10.0,7.4,1.67,2.96,10.0,4.0,3.0,7.96
1498,3k,flow,1,0.0,10.0,7.4,1.9,2.96,1.0,10.0,19.0,7.96
1499,3k,swell,1,0.0,10.0,7.42,3.08,2.968,4.0,9.0,5.0,7.968
