,source,word,freq_lcnl,aoa_mean,aoa_sd,tasa_1,tasa_2,tasa_3,max tasa,,,,,,,,,
5039,3k,plant,3,3.95,1.65,216,124,108,216,TRUE,FALSE,FALSE,1,,,,,
6206,unl,shorts,7,3.95,1.13,6,3,4,6,TRUE,FALSE,FALSE,1,,,,,
6637,3k,soft,40,3.95,1.5,107,126,138,138,FALSE,FALSE,TRUE,3,,,,,
7864,3k,tub,5,3.95,1.64,31,10,18,31,TRUE,FALSE,FALSE,1,,,,,
7657,lcnl,to,3956,3.951776,1.39,24061,22273,24829,24829,FALSE,FALSE,TRUE,3,,,,,
8325,3k,why,157,3.97309,2.11,1218,1084,927,1218,TRUE,FALSE,FALSE,1,,,,,
7485,3k,the,9565,3.983747,2.33,50950,48534,57939,57939,FALSE,FALSE,TRUE,3,,,,,
458,3k,blow,23,4,1.76,110,61,49,110,TRUE,FALSE,FALSE,1,,,,,
2725,3k,girl,80,4,1.89,643,401,356,643,TRUE,FALSE,FALSE,1,,,,,
3431,3k,hurt,22,4,1.45,213,214,160,214,FALSE,TRUE,FALSE,2,,,,,
3826,3k,lamp,5,4,2.08,18,26,28,28,FALSE,FALSE,TRUE,3,,,,,
4296,3k,mean,43,4,1.68,330,377,282,377,FALSE,TRUE,FALSE,2,,,,,
4315,cdi,meow,14,4,2.5,5,5,1,5,TRUE,TRUE,FALSE,1,,,,,
4874,3k,pear,3,4,1.7,0,1,2,2,FALSE,FALSE,TRUE,3,,,,,
6529,3k,smoke,16,4,1.5,52,101,91,101,FALSE,TRUE,FALSE,2,,,,,
7754,3k,train,155,4,1.71,222,127,95,222,TRUE,FALSE,FALSE,1,,,,,
8150,3k,wash,25,4,1.59,63,58,53,63,TRUE,FALSE,FALSE,1,,,,,
4734,lcnl,on,1441,4.005061,1.28,6973,6540,7316,7316,FALSE,FALSE,TRUE,3,,,,,
93,lcnl,at,799,4.037032,1.37,5635,5090,5491,5635,TRUE,FALSE,FALSE,1,,,,,
1017,3k,chew,15,4.05,1.51,7,11,12,12,FALSE,FALSE,TRUE,3,,,,,
1891,3k,dress,26,4.05,1.61,70,67,71,71,FALSE,FALSE,TRUE,3,,,,,
2259,3k,fish,115,4.05,1.61,908,366,237,908,TRUE,FALSE,FALSE,1,,,,,
3981,3k,light,61,4.05,1.99,356,353,454,454,FALSE,FALSE,TRUE,3,,,,,
4077,3k,look,223,4.05,1.68,2541,1488,1416,2541,TRUE,FALSE,FALSE,1,,,,,
4498,3k,mud,20,4.05,1.61,81,86,61,86,FALSE,TRUE,FALSE,2,,,,,
4934,3k,pet,26,4.05,1.87,277,106,62,277,TRUE,FALSE,FALSE,1,,,,,
6263,3k,sick,27,4.05,2.09,232,170,145,232,TRUE,FALSE,FALSE,1,,,,,
3690,3k,kick,4,4.06,1.73,20,19,20,20,TRUE,FALSE,TRUE,1,,,,,
8300,3k,white,89,4.06,1.66,360,377,403,403,FALSE,FALSE,TRUE,3,,,,,
312,3k,best,105,4.090317,1.66,395,372,339,395,TRUE,FALSE,FALSE,1,,,,,
8263,3k,where,309,4.090317,2.06,1477,1177,1308,1477,TRUE,FALSE,FALSE,1,,,,,
3104,3k,ham,13,4.1,1.48,47,14,9,47,TRUE,FALSE,FALSE,1,,,,,
5049,3k,play,126,4.1,2.59,1169,470,322,1169,TRUE,FALSE,FALSE,1,,,,,
8570,3k,your,510,4.100974,1.92,2554,2406,2815,2815,FALSE,FALSE,TRUE,3,,,,,
649,3k,breathe,1,4.11,1.88,30,37,39,39,FALSE,FALSE,TRUE,3,,,,,
1871,3k,draw,13,4.11,1.13,134,69,72,134,TRUE,FALSE,FALSE,1,,,,,
1946,3k,dry,26,4.11,1.33,137,133,170,170,FALSE,FALSE,TRUE,3,,,,,
3060,3k,guy,10,4.11,1.91,25,51,38,51,FALSE,TRUE,FALSE,2,,,,,
4950,3k,phone,13,4.11,1.49,90,90,69,90,TRUE,TRUE,FALSE,1,,,,,
5502,3k,read,86,4.11,1.68,529,494,520,529,TRUE,FALSE,FALSE,1,,,,,
5685,lcnl,rooms,3,4.11,1.56,41,40,39,41,TRUE,FALSE,FALSE,1,,,,,
6607,3k,snow,124,4.11,2.31,236,211,229,236,TRUE,FALSE,FALSE,1,,,,,
6881,3k,square,38,4.11,1.18,16,31,48,48,FALSE,FALSE,TRUE,3,,,,,
7020,3k,step,34,4.11,1.37,80,80,71,80,TRUE,TRUE,FALSE,1,,,,,
7719,3k,toss,2,4.11,1.45,9,4,9,9,TRUE,FALSE,TRUE,1,,,,,
7891,3k,turn,67,4.11,1.73,224,294,307,307,FALSE,FALSE,TRUE,3,,,,,
7573,3k,throw,26,4.14,1.46,84,77,72,84,TRUE,FALSE,FALSE,1,,,,,
