,Unnamed: 0,word,source,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Word,SUBTLWF,freq_lcnl_extended,freq_lcnl_extended_log,freq_lcnl_extended_log_flipscale,score,score_extended
1050,1159,black,3k,98.0,1.99563519459755,1.9850951819383953,3.56,1.92,1.4240000000000002,261.0,293.0,309.0,black,167.94117647058823,98.0,1.99563519459755,1.9850951819383955,10.507833136784384,10.507833136784384
995,1099,take,3k,164.0,2.2174839442139063,1.7632464323220391,4.37,1.89,1.7480000000000002,1347.0,1036.0,1013.0,take,1891.0392156862745,164.0,2.2174839442139063,1.7632464323220391,10.541362513127137,10.541362513127137
2175,2383,dad,3k,49.0,1.6989700043360187,2.2817603721999267,2.58,1.17,1.032,731.0,292.0,173.0,#N/A,#N/A,49.0,1.6989700043360187,2.2817603721999267,10.566161302699744,10.566161302699744
1899,2083,by,3k,312.0,2.4955443375464483,1.485186038989497,5.411785000000001,1.5,2.1647140000000005,1189.0,1462.0,2074.0,by,1340.4705882352941,312.0,2.4955443375464483,1.485186038989497,10.60993613646324,10.60993613646324
1762,1938,fire,3k,74.0,1.8750612633917,2.1056691131442453,3.25,1.16,1.3,290.0,394.0,318.0,fire,215.49019607843138,74.0,1.8750612633917,2.1056691131442453,10.619841896004859,10.619841896004859
134,150,how,3k,292.0,2.4668676203541096,1.5138627561818359,5.3585,1.92,2.1434,2048.0,2049.0,2147.0,#N/A,#N/A,292.0,2.4668676203541096,1.5138627561818359,10.657019646636424,10.657019646636424
2513,2748,hair,3k,68.0,1.8388490907372552,2.14188128579869,3.17,1.76,1.268,214.0,246.0,228.0,hair,153.54901960784315,68.0,1.8388490907372552,2.14188128579869,10.666584500295416,10.666584500295416
1644,1806,play,3k,126.0,2.103803720955957,1.8769266555799886,4.1,2.59,1.64,1169.0,470.0,322.0,play,354.52941176470586,126.0,2.103803720955957,1.8769266555799886,10.66924329452996,10.66924329452996
955,1054,hug,3k,45.0,1.662757831681574,2.3179725448543715,2.58,0.96,1.032,48.0,23.0,9.0,hug,19.333333333333332,45.0,1.662757831681574,2.3179725448543715,10.692903906990301,10.692903906990301
289,324,snow,3k,124.0,2.0969100130080562,1.8838203635278892,4.11,2.31,1.644,236.0,211.0,229.0,snow,31.352941176470587,124.0,2.0969100130080562,1.8838203635278892,10.703371272347614,10.703371272347614
2076,2275,next,3k,144.0,2.161368002234975,1.8193623743009706,4.3460849999999995,1.86,1.7384340000000005,972.0,841.0,688.0,next,452.7450980392157,144.0,2.161368002234975,1.8193623743009706,10.713853310053397,10.713853310053397
135,151,hot,3k,75.0,1.8808135922807914,2.099916784255154,3.37,1.77,1.348,449.0,281.0,252.0,hot,189.84313725490196,75.0,1.8808135922807914,2.099916784255154,10.71970874489304,10.71970874489304
2394,2623,walk,3k,79.0,1.9030899869919435,2.077640389544002,3.45,2.04,1.38,485.0,351.0,281.0,walk,215.86274509803923,79.0,1.9030899869919435,2.077640389544002,10.721741363404007,10.721741363404007
1529,1677,food,3k,69.0,1.845098040014257,2.1356323365216885,3.25,1.21,1.3,454.0,529.0,663.0,food,154.4313725490196,69.0,1.845098040014257,2.1356323365216885,10.72471317782591,10.72471317782591
2017,2210,try,3k,78.0,1.8976270912904414,2.083103285245504,3.44,2.15,1.376,370.0,362.0,347.0,try,476.7450980392157,78.0,1.8976270912904414,2.083103285245504,10.730861498359264,10.730861498359264
